listing_id,price,nbhood_full,State
3386226,285,Brooklyn, Williamsburg
3386923,70,Brooklyn, Crown Heights
3394044,69,Manhattan, Washington Heights
3394517,69,Manhattan, East Harlem
3394768,54,Manhattan, Harlem
3394964,50,Manhattan, Washington Heights
3395099,51,Manhattan, Washington Heights
3400359,49,Bronx, Allerton
3401271,135,Manhattan, East Harlem
3403034,95,Manhattan, Harlem
3404472,55,Brooklyn, Bushwick
3404668,47,Brooklyn, Brownsville
3404873,39,Manhattan, Washington Heights
3408897,349,Manhattan, Chelsea
3410516,250,Brooklyn, Williamsburg
3411006,290,Manhattan, East Village
3411815,85,Brooklyn, Vinegar Hill
3412633,146,Manhattan, Lower East Side
3414607,150,Brooklyn, Prospect Heights
3414885,240,Brooklyn, Williamsburg
3415102,500,Brooklyn, Williamsburg
3415455,48,Queens, Sunnyside
3421589,180,Manhattan, SoHo
3425168,122,Manhattan, East Village
3426233,400,Manhattan, Upper East Side
3431378,55,Bronx, Mott Haven
3437101,99,Manhattan, Upper East Side
3440135,225,Manhattan, Greenwich Village
3441130,60,Brooklyn, Williamsburg
3445138,495,Brooklyn, Park Slope
3447238,98,Brooklyn, Crown Heights
3450210,215,Manhattan, Harlem
3458525,115,Manhattan, Harlem
3463385,95,Manhattan, Upper East Side
3463475,197,Manhattan, Lower East Side
3465651,56,Staten Island, Eltingville
3465977,225,Manhattan, Upper West Side
3468942,199,Manhattan, Upper West Side
3469115,149,Brooklyn, Park Slope
3469171,142,Brooklyn, Red Hook
3469295,299,Manhattan, East Harlem
3474320,160,Brooklyn, Park Slope
3476105,127,Brooklyn, Bedford-Stuyvesant
3476431,110,Brooklyn, Clinton Hill
3478771,69,Manhattan, Lower East Side
3479639,144,Brooklyn, Bushwick
3486103,109,Brooklyn, Williamsburg
3488283,75,Brooklyn, Bay Ridge
3489242,38,Queens, Astoria
3490317,195,Brooklyn, Bedford-Stuyvesant
3492910,146,Manhattan, Morningside Heights
3493833,318,Brooklyn, Williamsburg
3495854,140,Brooklyn, Williamsburg
3496384,85,Manhattan, Chelsea
3512428,90,Manhattan, Harlem
3512620,135,Brooklyn, Crown Heights
3513303,90,Brooklyn, Williamsburg
3513960,38,Brooklyn, Flatbush
3517621,87,Manhattan, Kips Bay
3519172,250,Brooklyn, Fort Greene
3522244,65,Brooklyn, Clinton Hill
3522513,129,Manhattan, Harlem
3522539,159,Manhattan, East Village
3526122,249,Manhattan, West Village
3529500,151,Brooklyn, Bedford-Stuyvesant
3529503,79,Brooklyn, Bedford-Stuyvesant
3530122,135,Manhattan, Harlem
3530395,151,Manhattan, Lower East Side
3530517,600,Manhattan, Tribeca
3531018,59,Brooklyn, Bedford-Stuyvesant
